Cancer Type,Source,Pool,Priority,NCT/TrialID,Title,Cancer in Title?,Study Type,Flagged Keyword(s),Phase,Status,Year,Sponsor,Enrollment,Randomized,Outcome text (for cognition check),INCLUDE? (Y/N),Measures cognition? (Y/N),Notes
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT06831461,Proton Versus Photon Radiotherapy in Adults With Primary Brain Tumors,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Decline (domain),NA,RECRUITING,2025,OTHER,156,Yes,"5-year functional survival Functional survival will be calculated using Kaplan Meier method from the date of randomization as the primary outcome for the study. Any of the following will be considered as an event for the assessment of functional survival.

1. Cognitive decline: A drop of 10% from ba",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT03672721,IA Carboplatin + Radiotherapy in Relapsing GBM,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MoCA; Neurocognitive (domain); Cognitive Decline (domain),PHASE1/PHASE2,RECRUITING,2018,OTHER,35,Yes,"Response on MRI using the RANO Criteria T1, T2, FLAIR and a new diffusion protocol | Incidence of treatment related Neurocognitive decline MOCA questionnaire (Montreal Cognitive Assessment) | Quality of life (QOL) using SNAS questionnaire (Sherbrooke neuro assessment scale for quality of life). Scal",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT02085304,"Tumor Resection and Gliadel® Wafers, Followed by Temodar® With Standard Radiation or GammaKnife® for New GBM",Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Verbal Fluency; FACT-Cog; Cognitive Impairment (domain),PHASE1/PHASE2,TERMINATED,2013,OTHER,8,Yes,"Change in health related quality of life health related quality of life (HRQOL) evaluations using the EORTC Quality of Life Questionnaire-Core 30/Brain Cancer Module-20 (EORTC-QLQ C30/BCM20) and the The Functional Assessment of Cancer Therapy-Brain (FACT-Br, version 4) and cognition, (FACT-Cog, vers",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT00256425,Cognitive Rehabilitation of Glioma Patients,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neuropsychological (domain),PHASE3,UNKNOWN,2003,OTHER,140,Yes,neuropsychological measures of attention (test scores)  | neuropsychological measures of memory and executive functioning (test scores)  | subjective neuropsychological functioning (questionnaires)  | quality of life (questionnaires) ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT05190172,PRO-GLIO: PROton Versus Photon Therapy in IDH-mutated Diffuse Grade II and III GLIOmas,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neuropsychological (domain); Cognitive Function (domain); Cognitive Impairment (domain),NA,RECRUITING,2022,OTHER,225,Yes,First intervention free survival (FIFS) at 2 years Survival | Total fatigue score assessed by the fatigue questionnaire developed by T. Chalder et al. Symptom | Change in cognitive functioning (composite score from CANTAB-tests) at 2 years Objective examination | Overall survival Survival | FIFS Sur,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01666600,NOA-12: BIBF1120 and R-RT in Glioblastoma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MMSE; Cognitive Function (domain),PHASE1/PHASE2,TERMINATED,2012,OTHER,63,Yes,Maximal tolerated dose of BIBF 1120 in combination with reirradiation (Phase I)  | Number of participants with adverse events as a measure of safety and tolerability of BIBF1120  | Progression-free survival  | Objective response rates (OR)  | Overall survival  | Quality of life as determined by EORT,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01639612,Pilot Study of Bone Marrow/Stem Cells in Grade IV Malignant Glioma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain),PHASE1,COMPLETED,2012,OTHER,11,No,Number of patients with unacceptable toxicity Number of patients with irreversible Grade 3 or greater central nervous system (CNS) toxicity or Grade 3 or greater non-hematologic toxicity if attributable to ALD -451 | Number of ALD-451 cells recovered from bone marrow of patients following radiation ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT06043765,Reducing Cognitive Impairment in Glioma with Repetitive Transcranial Magnetic Stimulation and Cognitive Strategy Training,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Function (domain),NA,RECRUITING,2024,OTHER,16,Yes,Number of patients completing intervention and study protocol The feasibility will be assessed by number of patients completing the intervention and obligatory study measurements | Tolerability and side effects of the combination therapy Tolerability and side-effects will be assessed with an in-hous,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT02567539,Hypofractionated Stereotactic Radiotherapy for Patients With Recurrent High Grade Glioma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Function (domain),NA,COMPLETED,2015,OTHER,88,No,Progression free of participants  | Overall survival of participants  | Incidence of radionecrosis  | Questionnaire assessment of neurocognitive function ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT04702581,A Randomized Trial of Delayed Radiotherapy in Patients Low-grade Oligodendrogliomas Requiring a Treatment Other Than Surgery,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain),PHASE3,RECRUITING,2021,OTHER,280,Yes,"Survival without neurocognitive deterioration Survival without neurocognitive deterioration (whatever the cause of deterioration, i.e toxicity or tumor progression) defined as the time from study randomization to failure in any of the 6 cognitive domains that will be explored (i.e memory, working me",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT05871021,Protective VEGF Inhibition for Isotoxic Dose Escalation in Glioblastoma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Cognitive Function (domain),PHASE2,RECRUITING,2024,OTHER,146,No,OS Overall Survival | Safety and tolerability Safety and tolerability of dose escalation with bevacizumab according to CTCAE v5.0 | PFS-6 6 months rate of progression-free survival | PFS Progression-free survival | QoL Quality of life as determined by EORTC QLQ-C30/QLQ-BN 20 | Cognitive function Cog,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT07452458,"Temporally-Modulated Pulsed Radiation Therapy Versus Standard Radiation Therapy for the Treatment of Newly Diagnosed, IDH Wildtype, MGMT-Unmethylated Glioblastoma",Yes,Interventional (confirmed via ClinicalTrials.gov API filter),HVLT-R; TMT; COWAT; Neurocognitive (domain); Cognitive Function (domain),PHASE3,NOT_YET_RECRUITING,2026,OTHER,398,Yes,"Neurocognitive function (NCF) This endpoint will be evaluated using each NCF testing interval. NCF failure is defined as a decline in NCF using the reliable change index (RCI) on at least one of the following tests: Hopkins Verbal Learning Test - Revised (HVLT-R) Total Recall, HVLT-R Delayed Recall,",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT07384884,Surgery and Laser Interstitial Thermal Therapy for Bilateral Glioblastomas,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MoCA; Neurocognitive (domain); Cognitive Function (domain),NA,NOT_YET_RECRUITING,2026,OTHER,12,No,Assessment of Neurocognitive Function To assess post-operative neurocognitive function using the Montreal Cognitive Assessment | Progression-free survival in years To evaluate progression-free survival | Assessing Quality of Life To assess quality of life using the European Organisation for Research,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT00452868,Donepezil in Treating Young Patients With Primary Brain Tumors Previously Treated With Radiation Therapy to the Brain,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Function (domain),EARLY_PHASE1,COMPLETED,2006,OTHER,14,No,"Neurocognitive Function as Measured by the Neurocognitive Battery at 24 Weeks Delis-Kaplan Executive Function System Tower Total Scaled Score, range is 1-19 with the higher score being a better outcome.",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01756729,Post-approval Study of NovoTTF-100A in Recurrent GBM Patients,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MMSE; Cognitive Function (domain),PHASE4,TERMINATED,2012,INDUSTRY,13,Yes,Overall Survival  | Change in neuro-cognitive function from baseline based on MMSE  | Genetic profiling of tumors and correlation with response to NovoTTF-100A treatment  | Adverse events severity and frequency ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT07628257,"Cerebral Connectivity and Metabolic Phenotype of Gliomas: Prospective Addition of DTI and Rs-fMRI to a Preoperative FDG PET Strategy, With Neuropsychological Correlates and Post-treatment Follow-up",Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neuropsychological (domain),NA,NOT_YET_RECRUITING,2026,OTHER,80,No,"Correlation between cortical energy activity (FDG PET), axonal morphological connectivity (DTI - MRI), synchronous neuronal activity (rs-fMRI), and preoperative neuropsychological performance before surgery  | correlation between cortical energy activity (FDG PET), axonal morphological connectivity ",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT03390569,Exercise in Patients With Glioblastoma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Cognitive Function (domain); Cognitive Decline (domain),NA,COMPLETED,2017,OTHER,54,No,"Progression-Free Survival Time to tumor progression, based on Response Assessment in Neuro-Oncology (RANO) criteria | Cognitive Decline Tests will be scored according to published criteria, converted to z-scores based on population norms, and averaged to create an overall cognitive function score. C",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT07699172,EEG-Guided Cognitive Function Preservation in Patients With Brain Tumors,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MMSE; MoCA; Cognitive Function (domain),NA,NOT_YET_RECRUITING,2026,OTHER,10,No,"Mini-Mental State Examination (MMSE) Total Score Cognitive function assessed using the Mini-Mental State Examination (MMSE). The total score ranges from 0 to 30, with higher scores indicate better cognitive function. | Montreal Cognitive Assessment (MoCA) Total Score Cognitive function assessed usin",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT03534050,Neuropsychological and Oncological Outcomes in Grade 2 or 3 Glioma Patients Undergoing Postoperative Modern Radiotherapy,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),WAIS/WMS; Neurocognitive (domain),PHASE2/PHASE3,RECRUITING,2016,OTHER,80,No,"The primary endpoint is delayed recall, as determined by the change/decline in verbal memory (WMS III- Word List score) from the baseline assessment to 4 months after the start of postoperative adjuvant RT. Neurocognitive assessment: including memory, executive functions, and psychomotor speed. This",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT00369785,Donepezil in Treating Patients Who Have Undergone Radiation Therapy for Brain Tumors,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),HVLT-R,PHASE3,COMPLETED,2008,OTHER,198,Yes,Memory as Quantified by HVLT-immediate Recall Memory is quantified using the Hopkins Verbal Learning Test (HVLT) - immediate recall. Participants are asked to recall 12 words. Each recalled word is given one point. They are given three trials. The total score is the sum of the recalled words. The ra,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT03323450,Cognitive Remediation Therapy for Brain Tumor Patients: Improving Working Memory,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neuropsychological (domain),NA,COMPLETED,2017,OTHER,20,Yes,Treatment enrollment rates Determine feasibility and acceptability of the CogMed training program by assessing treatment enrollment | Attrition rates Determine feasibility and acceptability of the CogMed training program by assessing attrition rates. | Change in scores on Behavior Rating Inventory o,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT06719440,Achieving a Better Outcome Through Limiting the Glioblastoma Clinical Target Volume,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),HVLT-R; COWAT; Neurocognitive (domain); Cognitive Function (domain),NA,RECRUITING,2025,OTHER,347,Yes,"Overall Survival Number of days from date of randomization to the date of death due to any cause | Neurocognitive functioning Hopkins verbal learning test revised; Trail Marking Test A \& B; Controlled Oral Word Association Test | Radiation-induced toxicity Assessment of fatigue, headache, nausea, a",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT05212272,MRI in High-Grade Glioma Patients Undergoing Chemoradiation,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Cognitive Function (domain),NA,RECRUITING,2022,OTHER,16,No,Number of Participants to Complete Two PET scans Feasibility is defined as 70% of patients who complete two PET scans. This proportion and its 95% confidence interval will be calculated at 4 months | Number of Participants to Complete Cognitive Testing Using a customized abbreviated cognitive batter,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT02444000,gliomasPCV Only in 1p/19q Codeleted Anaplastic Gliomas,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain),PHASE3,COMPLETED,2015,OTHER,280,Yes,"Survival without neurocognitive deterioration Survival without neurocognitive deterioration (whatever the cause of deterioration, i.e toxicity or tumor progression) defined as the time from study registration to failure in any of the 6 cognitive domains that will be explored (i.e memory, working mem",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01400958,Nuvigil or Placebo in Newly Diagnosed Malignant Glioma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Cognitive Function (domain); Cognitive Performance (domain),PHASE2,TERMINATED,2010,OTHER,6,Yes,"Occurrence of Improved Fatigue Experience After Treatment Determine if Nuvigil® improves fatigue experienced by patients receiving external beam radiation therapy for the treatment of malignant gliomas. Participants who maintained minimal, or experienced improved fatigue experience on a scale of 0 (",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT06327048,Application of Cognitive Training Based on the Remind Strategy in Glioma Patients With Cognitive Impairment,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MoCA; Cognitive Function (domain); Cognitive Impairment (domain),NA,COMPLETED,2024,OTHER,69,Yes,"Montreal Cognitive Assessment(MoCA) The Montreal Cognitive Assessment (MoCA) is commonly used to assess cognitive function, typically taking about 15 minutes to complete. It has a total score of 30 points, with a score of ≥26 considered normal. Lower scores indicate more severe cognitive impairment.",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT00782756,"Bevacizumab, Temozolomide and Hypofractionated Radiotherapy for Patients With Newly Diagnosed Malignant Glioma",Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain),PHASE2,COMPLETED,2008,OTHER,40,No,Number of Participants With Adverse Events Safety assessments and toxicity grading will follow CTCAE Version 4 Grade | Progression Free Survival  | Neurocognitive Outcome ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT05116137,The Impact of Resistance ExerciSe on Muscle Mass in GlioblaSToma Survivors,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),WAIS/WMS,NA,ENROLLING_BY_INVITATION,2022,OTHER,24,Yes,"Functional Performance Short Physical Performance Battery to assess activities of daily living | Grip strength Measured by handheld dynamometer | Body Mass Index (BMI) Weight (kg) and height (m) will be used to calculate BMI | Body composition and Muscle Mass Arm, waist, and calf circumference (cm) ",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT00430911,Radiotherapy for Malignant Astrocytomas in the Elderly,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Cognitive Function (domain),PHASE3,COMPLETED,2001,OTHER,,Yes,Survival  | Progression free survival  | Quality of life  | Cognitive functions ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT07710131,Neurocognitive Assessment CNSL and LGG,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),WAIS/WMS; Digit Span; Neuropsychological (domain),NA,NOT_YET_RECRUITING,2026,OTHER,36,No,"Evaluating the Construct Validity of Digital Cognitive Tests To evaluate the construct validity of digital cognitive tests by comparing domain-specific composite scores derived from traditional neuropsychological and digital cognitive measures of attention, processing speed, executive functioning, a",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01071837,APG101 in Glioblastoma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Cognitive Function (domain),PHASE2,COMPLETED,2009,INDUSTRY,84,Yes,6 months rate of progression free survival (PFS6)  | Safety and tolerability of APG101  | Progression-free survival  | Objective response rates (OR)  | Duration of response (DR) in responders  | Overall survival  | Quality of life  | Cognitive function ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT02443194,"The Effect of Duloxetine on Mood, Quality of Life and Cognitive Functioning in Glioblastoma Patients",Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neuropsychological (domain); Cognitive Function (domain),PHASE3,TERMINATED,2015,OTHER_GOV,50,Yes,changes in patients mood and cognitive function according to the neuropsychological assessment ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01305122,Tumor and Treatments Impact on Neurocognitive Functions and Quality of Life of Patients With OMS Grade II Glioma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MoCA,NA,TERMINATED,2011,OTHER,112,No,MoCA test ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT03475186,Testing Ramipril to Prevent Memory Loss in People With Glioblastoma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),HVLT-R; Neurocognitive (domain); Cognitive Function (domain),PHASE2,COMPLETED,2019,OTHER,75,No,Change From Baseline Neurocognitive Function at 10 Weeks - Hopkins Verbal Learning Test-Revised (HVLT-R) Total Recall Standardized Score HVLT-R measures verbal learning and memory. It consists of a 12-item word list which is read to subjects on three successive learning trials. Free recall scores ar,Yes,Yes,
